Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
16856~Motor accident claims and compensation~Awasthi, Sudha~11311
16857~Motor accidents ~Sarkar, Utpal Ranjan~21704
16858~Motor accidents ~Sarkar, Utpal Ranjan~21705
16859~Motor accidents~Sarkar, Utpal Ranjan~21706
16860~Motor accidents~Sarkar, Utpal Ranjan~21707
16861~Motor accidents~Sarkar, Utpal Ranjan~21708
16862~Motor accidents claims~Vijayraghavan, N.~6814
16863~Motor annual report 2019-2020~IIBI~2510
16864~Motor claims standardisation project- accident models & computer based user system for premium padmini car deluxe model~Joshi R.R.~17019
16865~Motor claims: interview of Mr. Deepak Godbole on Zee Business TV Channel (30 Minutes)~Godbole, Deepak~24486
16866~Motor insurance~Dick, J.N.~12982
16867~Motor insurance~Cannar, K.~12983
16868~Motor insurance~Cannar, K.~12984
16869~Motor insurance~FII~12985
16870~Motor insurance~FII~12986
16871~Motor insurance~~12987
16872~Motor insurance - 72 (preparatory questions and answers for associate examination of the insurance institute of India)~Sri Ram and Co.~19650
16873~Motor insurance (72)~Sri Ram and Co.~3358
16874~Motor insurance (72)~Sri Ram and Co.~3359
16875~Motor insurance (cii study course 765 )~Kerbey, Peter~16605
16876~Motor insurance (supplement to fi-72)~FII~20502
16877~Motor insurance and compensation of motor accident victims in developing countries~United Nations Conference On Trade and Development~16389
16878~Motor insurance cii 230~Freeman, M.A.~1024
16879~Motor insurance claims in India for federal insurance company (CHUB)~Deshpande, Satish~23292
16880~Motor insurance p94~CII~4212
16881~Motor insurance p94~CII~4213
16882~Motor insurance: interview:Deepak Godbole, DM, LIC~ECGC Movies~22920
16883~Motor repair costs & economics of automobile repairs~Agarwal, Arun~2341
16884~Motor repair costs and economics of automobile repairs~Agarwal, A. [Et.al]~19273
16885~Motor theft claims~Rao, P.R.~12326
16886~Motor theft claims~Rao, P. R. & Agarwal, Arun~12327
16887~Motor third party claims management~Johri, Govind~17689
16888~Motor third party claims management~National Insurance Company Limited~17690
16889~Motor third party claims management: (with CD)~Johri,Govind~25320
16890~Motor vehicle act,1988~LexisNexis~25758
16891~Motor vehicle laws~Kanan, K.~17799
16892~Motor vehicles act :~Basu, N.D.~6709
16893~Motor vehicles act, 1939~Delhi Law House.~12357
16894~Motor vehicles act, 1988~Professional~13706
16895~Motor vehicles act, 1988~Sarkar, U.R.~13707
16896~Motor vehicles act, 1988~Sarkar, U.R.~13708
16897~Motor vehicles act, 1988~Mukherjee, T.K.~13709
16898~Motor vehicles act, 1988~PBP~13710
16899~Motor vehicles act, 1988~PBP~13711
16900~Motor vehicles act, 1988~PBP~13712
16901~Motor vehicles act, 1988~PBP~13713
16902~Motor vehicles act, 1988 (act no 59 of 1988)~Khan, N.I. [Et.al]~5072
16903~Motor vehicles act, 1988 (act no59 of 1988) with schedule~Delhi Law House~15778
16904~Motor vehicles act, 1988 [act no59 0f 1988]~CLP~12234
16905~Motor vehicles act, 1988 alongwith comparative table of old and new~~6504
16906~Motor vehicles bill 1988~~9313
16907~Motor vehicles bill, 1988 (bill no 60 of 1988) introduced in lok~~21790
16908~Motor vehicles laws in maharashtra, 9th ~Gupte, A.K.~11369
16909~Motor vehicles manual~Professional Book Publisher~25761
16910~Motor vehicles manual 2014 (containing motor vehicles act, 1988, central motor vehicles rules, 1989, allied laws~PBP~15356
16911~Motor vehicles manual 2019 (containing motor vehicles act, 1988, central motor vehicles rules, 1989, allied laws ~PBP~21095
16912~Motorcycle diaries ~Guevara, Che~5952
16913~Mountain adventure: CD05~~23707
16914~Mountain Secret~Sumana Chandavakar~24917
16915~Mountain trekking: CD23~~24174
16916~Mountains of our destiny - Himalayas: an expedition to the Indian range~Ramanan, Vrinda~34246
16917~Mouse charmers~Goyal, Anuradha~7467
16918~Mouse merchant ~Sattar Arshia~4944
16919~Mouse's House and Other Stories~Parragon (Pub.)~24568
16920~Moveable feast~Hemingway, Ernest~4893
16921~Moves to reform the legal system governing motor accident victims compensation in developing countries~United Nations Conference on Trade and Development~12768
16922~Movie magic with digital video tools [July 2002]~PC Quest~22683
16923~Moving up to supervisition ~Broadwell M. M.~3117
16924~MPEDA's Shrimp farming~MPEDA~24750
16925~Mpls -enabled applications~Minei, Ina~14036
16926~Mr tompkins in paperback~Gamow, George~17820
16927~Mr.Meddle's Bicycle~Blyton,Enid~22774
16928~Mrignayani~Verma, Vrindavan Lal~21022
16929~Mrmulliner speaking~Wodehouse, P.G.~3686
16930~Mrs craddock~Somerset, W.~13350
16931~Mrs dewinter~Hill, S.~14410
16932~Mrs funny bones~Khanna, Twinkle~19191
16933~Mrsdalloway~Woolf, V.~365
16934~Mrsmcginty's dead~Christie, A.~7541
16935~Mrtp law and practice~Dugar, S.M..~18899
16936~Mrtp rules with company law~Bk~370
16937~Mrudgandha म दगंध~Santa, Indira~217
16938~Mrutucha gungunat (म त य चा गुणगुणाट)~Devdhar Vijay~10973
16939~Mrutupetit pach divas ani kahi vilakshan sahas katha म त युप टीत पाच दिवस आणि काही विलक षण साहसकथा~Devdhar, Vijay V.~3701
16940~Mrutyunjay म त युंजय~Savant, Shivaji~8677
16941~Mrutyurekha 2 aa म त युर खा~Sonawani Sanjay~3257
16942~MS Outlook 2000~~24498
16943~MS Project~~23413
16944~MS Visual Interdev 6.0 (3 CDs) [Original CD]~~23638
16945~MS Windows 95~RU~23187
16946~Ms-dos handbook~King, R. A~6866
16947~Ms-dos pc tutor~Ewing, S.C.~782
16948~MSDN disk 1~~24395
16949~MSDN disk 2~~22599
16950~MSDN Library Disk -2~~25305
16951~MSDN Library disk 1 - setup (Original CD)~~24468
16952~MSDN Library Disk 1- Setup~~24927
16953~MSDN Library disk 2 (Original CD)~~23449
16954~MSP Series dot matrix printer 5 cds~~24711
16955~Much ado about nothing~Mares, F.H.~14114
16956~Much obliged jeeves~Wodehouse, P.G.~16114
16957~Mudra ani aarogya sidhant~Chiplunkarr, Suman K.~10484
16958~Mughal empire~Richards, John F.~13358
16959~Mukhavtanchya palikade मुखवट याच या पलीकड~Bharadwaj, Mandakini~10404
16960~Mukkam post reserve bank मुक काम प स ट रिझर व ह ब ंकश ंखला जीवनानुभवांची~Pendharkar, Vishwanath~21260
16961~Mukkam shantiniketan मुक काम शांतिनिक तन~Deshpande, P.L.~10599
16962~Mukkam मुक काम~Deshpande, Gauri~11510
16963~Mukkam मुक काम~Gadgil, Sudhir~11511
16964~Mukta sangeet samvad मुक त संगीत - संवाद~Sangoram, Shrirang [Sampadak]~12533
16965~Muktai मुक ताई~Joshi M.~21610
16966~Muktanganchi ghost~Avachat, Anil~1535
16967~Muktayan मुक तायन~Kusumagraj.~6806
16968~Muktidata moshe (moses the deliverer) a novel in marathi on the life of moses मुक तिदाता म श (म स स द डिलिव हर)अ न व ह ल इन मराठी ऑन द लाईफ ऑफ म स स~Patole, Sunny~20412
16969~Mukutdhari chooha (मुकुटधारी च हा)~Tiwari, Rakesh~19320
16970~Mulakhavegali manas मुलखाव गळी माणस~Sammant, Bal~18914
16971~Mulan napas ka hotat? Anuvad sujata godbole 1 मुलं नापास का ह तात?~Holt, John~14925
16972~Mule ani pale (kathasangrah) मुळ आणि पाळ (कथासंग रह)~Phene, Vasant Narahar~10464
16973~Mule va thainche prashna मुल व त यांच प रश न~Valgale, Chandrakant Shankar~6938
16974~Mulla on the indian registration act (act xvi of 1908) ~Dalal, D.~21988
16975~Mulla, principles of hindu law~Desai, S.A.~11599
16976~Mulliner nights~Wodehouse, P.G.~7181
16977~Multidimensional scaling~Kruskal, J.B. [Et.al]~8006
16978~Multimedia~Mcgloughlin, S.~20967
16979~Multimedia~Vaughan, Tay~20968
16980~Multimedia~Villamil, John and Molina, Louis~20969
16981~Multimedia~Villamil, John and Molina, Louis~20970
16982~Multimedia~Lozano, Jose~20971
16983~Multimedia~Satyanarayana, B. and Others Eds.~20972
16984~Multimedia~Fernandez-Elias, L. and Villamil, J.~20973
16985~Multimedia [June 2002]~Digit~25291
16986~Multimedia and cd-roms for dummies~Rathbone, A.~1635
16987~Multimedia in practice~Jeffcoate, Judith~8736
16988~Multimedia Keyboard~RU~23557
16989~Multimodal transport~De Wit, R.~20727
16990~Multimodal transport~Faber, Diana Ed.~20728
16991~Multimodal transport handbook~United Nations Conference On Trade and Development/Undp~15710
16992~Multinational business finance~Eiteman, David K.~14375
16993~Multinational insurance programmes ~Dowding, Tony~2399
16994~Multinational investment in developing countries~Thomas, Anderson~17901
16995~Multinational mission~Prahalad, C.K.~1951
16996~Multinational operations seminar~AIRMIC~11620
16997~Multinational pooling~Thakkar, Y M~2106
16998~Multinational scramble for new markets~Banerjee, B.N.~1955
16999~Multinationals training practices and development~ILO~6361
17000~Multiple criteria decisions methods and applications~Fandel, Gunter~7767
17001~Multiple regression~Aiken, Leona S. [Et.al]~20249
17002~Multiple regression in practice~Berry, W.D. [Et.al]~20648
17003~Multiple unionism in bank~Khandekar, N.C~12060
17004~Multiple-lines insurance production~Trupin, Jerome~8136
17005~Multiplying management effectiveness~Marvin, Philip~9168
17006~Multivariate analysis of categorical data~Van De Geer, J.P.~11202
17007~Multivariate analysis of categorical data~Van De Geer, John P.~11203
17008~Multivariate analysis of variance~Bray, J.H. [Et.al]~18767
17009~Multivariate analysis techniques in social science research~Tacq, J.~15853
17010~Multivariate data analysis, 7th ~Hair, Joseph F.~17795
17011~Multivariate tests for time series models~Cromwell, J.B. & Others~16945
17012~Mulukhgiri मुलुखगिरी~Sanzagiri, Dwarakanath~14198
17013~Mumbai~OUP~13284
17014~Mumbai prantik mahanagarpalika adhiniyam, 1949 (rajya nivadnuk ayogane delale aadesh, va paripatrake yannsah), ~Chaudhari, R.A.~22058
17015~Munchi re group annual report 2007~Milli Re~2077
17016~Mundaka upanishad~Singh, Karan~18884
17017~Munich and the bavarian alps~Galicka, Izabella~6533
17018~Munich re group annual report 2003~Munich Re~5663
17019~Munich re group annual report 2004~Munich Re~2241
17020~Munich re group annual report 2009~Munich Re~4545
17021~Munitai va etar katha मुनिताई व इतर कथा~Ishwarchandra~15938
17022~Muppet breaker upper~~25186
17023~Muppet Breaker Upper (V00181), Muppet Lift Off (V00182), Muppet~~23595
17024~Muppet lift off~~23694
17025~Muppet sidesplitter~~24447
17026~Murach's beginning java 2 jdk 5~Lowe, Doug~22311
17027~Murach's java servlets and jsp (with cd)~Steelman, Andrea~10482
17028~Murach's Java servlets and JSP (with CD)~Steelman, Andrea~25708
17029~Murder at the kennedy genter~Truman, M.~2813
17030~Murder in mesopotamia~Christie, Agatha~13288
17031~Murder in the mews and three other poirot cases~Christie, A.~15046
17032~Murder is announced~Christie, Agatha~10783
17033~Murder is announdced~Christie, Agatha~5526
17034~Murder on the links~Christie, A.~5302
17035~Murders and chemical equations~Obeegadoo, Nikhita~20377
17036~Murphy's english grammar~Murphy, Raymond~12737
17037~Musafir मुसाफिर~Godbole, A.~4171
17038~Muslim manacha kanosa मुस लिम मनाचा कान सा~Jamadar, Husain~13946
17039~Mutation~Cook, Robin~11389
17040~Mutual fund fact book -industry trends and statistics for 1992~~3118
17041~Mutual fund industry annual seminar~Seminar~8904
17042~Mutual fund operations in India~Vaid, S.~17798
17043~Mutual fund switch strategies and timing tactics~Boroson, W.~12951
17044~Mutual funds and asset preference~Gupta, L.C.~20180
17045~Mutual funds in India~Uma, Shashikant Ed.~20083
17046~Mutual funds in India~Sadhak, H.~20084
17047~Mutual funds in India~Sadhak, H.~20085
17048~Mutual funds made easy~CNBC TV-18~25367
17049~My 50 years journey as a consulting actuary prof g s diwan collection~Pandit, D.K.~17273
17050~My Album of Amphibians and Reptiles~Fernandes,John~25548
17051~My Album of Birds~Fernandes,John~22680
17052~My Album of Dinosaurs~Fernandes,John~25600
17053~My Album of Flowers~Fernandes,John~23193
17054~My Album of Sea Animals~Fernandes,John~25055
17055~My Album of Vegetables~Fernandes,John~23197
17056~My Album of Vehicles~Fernandes,John~24858
17057~My Album of Wild Animals~Fernandes,John~25662
17058~My american journey~Powell, Colin L.~3348
17059~My Book of Paper Folding,1~Narvekar, Subodh~22428
17060~My Book of Paper Folding,2~Narvekar, Subodh~25107
17061~My Book of Paper Folding,3~Narvekar, Subodh~22762
17062~My Book of Paper Folding,4~Narvekar, Subodh~23997
17063~My children my teacher~Nair, Sandeep~14165
17064~My economic affair~Desai, A.~15950
17065~My family and other animals~Durrell, G.~8764
17066~My Favourite Book of Animal Stories~Deborah Campbell Todd~23340
17067~My feudal lord~Durrani, T.~18260
17068~My frozen turbulence in kashmir~Jagmohan~14226
17069~My honeymoon with a pinch of salt~Kapoor, Virender~19730
17070~My journey~Kalam, Abdul A.P.J.~19357
17071~My lucky stars ~Maclaine, Shirley~2375
17072~My philosophical development~Russell, Bertrand~127
17073~My phudal lordanuvad leela aavte माय फुदल ल र ड अनुवाद लीला आवट~Durani, Tahamina~18708
17074~My presidential years~Venkataraman, R.~4599
17075~My sleep diary~Datta, Karuna Mathur~14334
17076~My son's father~Moraes, Dom~8558
17077~My south block years~Dixit, J.N.~15204
17078~My sql cookbook~Dubois, Paul~1422
17079~My story anu asha kardale माय स ट रीअनु आशा कर दळ~Bargman, Ingrid~2617
17080~My times memoirs~Patil, Vimla~6329
17081~My uncle oswald~Dahl, Roald~2409
17082~My years with general motors~Sloan, A.~12372
17083~My years with general motors~Sloan, A.P.~12373
17084~My years with general motors~Drucker, Peter F.~12374
17085~Myers briggs type indicator~Briggs, K.C.~20057
17086~Mylek kathasangraha मायल क कथासंग रह आव त ती १~Manekar, Lata~3561
17087~Myrth and meaning~Levi-Strauss, Claude~21087
17088~Mysql~Vaswani, Vikram~17906
17089~Mysql~Mysql Ab~17907
17090~Mysql in a nutshell~Dyer, Russell J. T.~18978
17091~MySQL: administrator's guide and language reference (with CD)~MYSQL AB~25462
17092~Mysteries - an investigation into the occult, the paranormal and~Wilson, C.~5710
17093~Mysteries of the ancient world~Sellier, C.E.~17103
17094~Mysterious affair at styles~Christie, A.~18754
17095~Mysterious affair at styles~Christie, Agatha~18755
17096~Mystery mansion~Cox, Phil Roxbee~24198
17097~Mystery of the blue train~Christie, A.~14319
17098~Mystics and sceptics: in search of Himalayan masters~Gokhale, Namita (Ed.)~34250
17099~Myth of free trade~Batra, Ravi~19795
17100~Mythical man-month~Brooks, Fredderick P.~3465
17101~Myths of leadership ~Owen, Jo~6988
17102~Myths to live by~Campbell, Joseph~2609
17103~Na sanganyajogee ghosth 62 chya parabhavachi shokantika (न सांगण याज गी ग ष ट)~Pitre Shashikant Giridhar~3429
17104~Na valane magharee ek satyakatha ना वळण माघारी~Gupta, Shivani~5818
17105~Nabard~Singh, Rudra Pratap~13620
17106~Nabard (national bank for agriculture and rural development) ~Agarwal, Chandresh~19868
17107~Nabhi's compilation of vigilance circulars, orders, letters and notifications~Ram, Geeta~17490
17108~Nabhi's foreign exchange manual 1995~Nabhi~12879
17109~Nabhi's formation and management of a private company~Nabhi~12350
17110~Nabhi's law relating to non-banking financial companies~Nabhi~19002
17111~Nabhi's manual for capital issues sebi & mutual funds~Nabhi~12829
17112~Nabhi's new foreign exchange mannual 2000~Nabhi~10921
17113~Nabhi's new import-export policy and procedures along with input~Nabhi~18276
17114~Nabhi's referencer for central government employees 2002~Nabhi~14046
17115~Nabhi's referencer for central government employees 2004~Nabhi~17912
17116~Nach ga ghuma नाच ग घुमा~Desai, Madhavi~8064
17117~Nacha ri ghuma anupratibha mudhaliyar~Desai Madhvi~20068
17118~Nachyo bahuta gopal~Nagar, Amrutalal~22245
17119~Nadanadi नादनदी~Sapre, Vidya.~1436
17120~Nadikathi नदीकाठी~Muzumdar, Vasanti~12777
17121~Nag ani namune नग आणि नमुन~Gorle, Shivaraj~13182
17122~Naga-mandala~Karnad, Girish~8584
17123~Nagamandal नागमंडल~Dhere, Aruna. Sampa.~15754
17124~Nagamandal नागमंडल नाग सर पांनी भरल ल या नऊ मराठी कथा~Dhere, Aruna [Sampa]~11012
17125~Nagarik नागरिक~Dharmँdhikari, Avinash.~2857
17126~Nagarjun [anu aaha salunkhe] नागार जुन[अनु आ ह साळुंख ]~Sacchidananda Murti Ke.~20498
17127~Nagarjun samvad (नागार जुन संवाद)~Singh Vijay Bhadur~2455
17128~Nagzira नागझिरा~Madgulkar, V.~6977
17129~Nahi manohar tariनाही मन हर तरी~Taksale, Mukund~11428
17130~Naihar chooto hi jaye~Mahambare, Gangadhara.~21853
17131~Naive and sentimental lover~Lecaree, John~6028
17132~Najarabanda नजरबंद~Nadkarni, Dnyaneshvar.~9805
17133~Najhi bhasmsuracha udayasta, नाझि भस मासुराचा उदयस त~Kanitakara, Vi.Ga.~6013
17134~Nakalat नकळत~Mahajan, Chaya~9329
17135~Naked face~Sheldon, Sidney~10491
17136~Naked management~Muchnick, Marc~306
17137~Naked sun~Asimov, I~21641
17138~Nakshatra vihar नक षत र विहार~Kulkarni, L.K.~8943
17139~Nala & Damayanti~Pai,Anant~23385
17140~Nancy Drew 132: The Fox Hunt Mystery~Keene,Carolyn~25221
17141~Nancy Drew 141: The Wild Cat Crime~Keene,Carolyn~25735
17142~Nancy Drew 150: Mystery at Moorsea Manor~Keene,Carolyn~24291
17143~Nancy Drew-On the Trail of Trouble~Keene,Carolyn~25223
17144~Nancy Drew-The Secret of Candlelight Inn~Keene,Carolyn~22745
17145~Nandavi te varsha नांदवी त वर षा~Teni, Nandakumar.~14965
17146~Nangarkyavin bhuee नांगरल याविण भुई आव त ती १~Khare, Nanda~6562
17147~Nangi asalele phulpakharu नांगी असल ल फुलपाखर~Goङase, Da.Ga.~9843
17148~Nangrni नांगरणी~Yadav, Anand~9534
17149~Nankatai नानकटाई~Kanekar, Shirish~14766
17150~Nano-engineering in science and technology~Rieth, Michael~7450
17151~Nanoday nanotechnologycha duniyachee romaharshak safar न यान दयन यान ट कन ल जीच या अतिस क ष म दुनिय ची र महर षक सफर~Godbole, Achyut~20744
17152~Napas mulanche pragatipustak~Shevate, Arun~12151
17153~Napas mulanchi ghosta नापास मुलांची ग ष ट~Shevate, Arun~16586
17154~Napoleon hill's keys to success~Sartwell, M. Ed.~4437
17155~Napoleon hill's positive action plan~Ritt, M.J. [Et.al]~14840
17156~Naram garam नरम गरम~Mehendale, Vishwas.~18024
17157~Narasimham committee report on the financial system 1991~Narasimham, K P~20477
17158~Narasimhan committee report on financial system 1991~Narasimhan, M.~8176
17159~Narcissus and Echo: A Greek Traditional~~25557
17160~Narendra modi~Verma, Sudesh~8468
17161~Narendra modi~Marino, Andy~8469
17162~Narmade har har नर्मदें हर हर~Kunte, Jagannath~9266
17163~Narrow road to the deep north~Flanagan, Richard~11305
17164~Narvir tanaji~Bagul, Prabhakar~683
17165~Narvyaghra नरव याघ र~Tibile, Anant~20833
17166~Nasreen's Park~Priya Vasudevan~25262
17167~Natakanmagil natya~Sarang, Lalan~11699
17168~Natasamrat  नटसम राट~Shirvadkar, Vi Va~3416
17169~Natasamrat नटसम राट~Shirwadkar, V.V.~1450
17170~Nateyaik lokashahi नात वाईक ल कशाही~Buva, V.A.~14682
17171~Natha ha majha~Ghanekar, Kanchan~8938
17172~Nathan: globe of natural hazards, Version 2011~Munich Re~24653
17173~Natigoti नातीग ती~Dalvi, Jayavant.~20131
17174~Natioanl Stock Exchange - NEAT CBT~~25334
17175~National accounts statistics 1970-1971~India~9027
17176~National accounts statistics 1970-71~India CSO~16562
17177~National accounts statistics 1970-71 - 1979-80 feb 1982~India Ministry of Planning, Dept. of Statistics [Et.al]~1453
17178~National accounts statistics 1970-71 to 1980-81~India, Ministry of Planning, [Et.al]~5542
17179~National accounts statistics 1980-89~India~3422
17180~National accounts statistics of India 1950-51 to 1995-96~EPW~14032
17181~National accouts statistics 1970-71 to 1980-81~India CSO~17121
17182~National archives of india: key to efficient administration~NAI~24962
17183~National assessments~Murphy, Paud and Others Eds.~15984
17184~National commission and supreme court on consumer cases 1986-1995~Nijhawan, Swarn Bhatia~13155
17185~National commission and supreme court on consumer cases 1986-1996~Nijhawan, Swarn Bhatia~5022
17186~National commission and supreme court on consumer cases 1986-1999~Nijhawan, Swarn Bhatia~10157
17187~National commission and supreme court on consumer cases 1986-2002~Nijhawan, Swarn Bhatia~1894
17188~National commission and supreme court on consumer cases 1986-2004~Nijhawan, Swarn Bhatia~18034
17189~National commission and supreme court on consumer cases 1986-2005~Nijhawan, Swarn Bhatia~6162
17190~National culture of India~Husain, S. Abid~5451
17191~National education policy 2020~Halse, S.V.~18332
17192~National education policy 2020~Halse, S.V.~18333
17193~National education policy 2020~Halse, S.V.~18334
17194~National geographic       ~~33926
17195~National Geographic 1888-1909 (January 1900 - April 1903)~National Geographic~22689
17196~National Geographic 1888-1909 (May 1903 - August 1906)~National Geographic~25297
17197~National Geographic 1888-1909 (September 1906 - December 1909)~National Geographic~23323
17198~National Geographic 1888-1909 (Volume 1, Number 1, 1988 - December 1899~National Geographic~25742
17199~National Geographic 1910s (January 1910 - April 1913)~National Geographic~24892
17200~National Geographic 1910s (May 1913 - Auugust 1916)~National Geographic~25485
17201~National Geographic 1910s (September 1916 - December 1919)~National Geographic~24898
17202~National Geographic 1920s (January 1920 - April 1923)~National Geographic~22557
17203~National Geographic 1920s (May 1923 - Augustl 1926)~National Geographic~25459
17204~National Geographic 1920s (September 1926 - December 1929)~National Geographic~24318
17205~National Geographic 1930s (January 1930 - April 1933)~National Geographic~25156
17206~National Geographic 1930s (May 1933 - August 1936)~National Geographic~24188
17207~National Geographic 1930s (September 1936 - December 1939)~National Geographic~25007
17208~National Geographic 1940s (January 1940 - April 1943)~National Geographic~23263
17209~National Geographic 1940s (May 1943 - Auugust 1946)~National Geographic~25582
17210~National Geographic 1940s (September 1946 - December 1949)~National Geographic~24994
17211~National Geographic 1950s (January 1950 - April 1953)~National Geographic~24530
17212~National Geographic 1950s (May 1953 - August 1956)~National Geographic~23084
17213~National Geographic 1950s (September 1956 - December 1959)~National Geographic~23814
17214~National Geographic 1960s (January 1960 - April 1963)~National Geographic~23624
17215~National Geographic 1960s (May 1963 - August 1966)~National Geographic~25444
17216~National Geographic 1960s (September 1966 - December 1969)~National Geographic~24762
17217~National Geographic 1970s (January 1970 - April 1973)~National Geographic~25426
17218~National Geographic 1970s (May 1973 - August 1976)~National Geographic~23964
17219~National Geographic 1970s (September 1976 - December 1979)~National Geographic~23962
17220~National Geographic 1980 (January 1980 - April 1983)~National Geographic~23856
17221~National Geographic 1980 (May 1983 - August 1986)~National Geographic~25632
17222~National Geographic 1980 (September 1986 - December 1989)~National Geographic~23953
17223~National Geographic 1990s (January 1990 - June 1993)~National Geographic~22941
17224~National Geographic 1990s (January 1997 - December 1997)~National Geographic~22672
17225~National Geographic 1990s (July 1993 - December 1996)~National Geographic~23824
17226~National geographic: 3D Globe (2 CD-ROMs)-Disk-1~NG~25429
17227~National geographic: 3D Globe (2 CD-ROMs)-Disk-2~NG~24157
17228~National housing policy~Govt. of India. [Et.al]~5970
17229~National income accounting~Roy Choudhury, U.D.~15322
17230~National income accounting for senior secondary school course of class xii~Ojha, R R~19119
17231~National income accounts and data systems~Minhas, B.S.~13057
17232~National insurance company limited~National Insurance Company Limited~7319
17233~National insurance company limited~National Insurance Company Limited~7320
17234~National insurance company limited~National Insurance Company Limited~7321
17235~National insurance company limited~National Insurance Company Limited~7322
17236~National insurance company limited~NICL~7323
17237~National insurance company limited~NICL~7324
17238~National insurance company limited~NICL~7325
17239~National insurance company limited~NICL~7326
17240~National insurance company limited~NICL~7327
17241~National insurance company limited~NICL~7328
17242~National insurance company limited~NICL~7329
17243~National insurance company limited~NICL~7330
17244~National insurance company limited annual report 2004-2005~National Insurance Company Limited~3640
17245~National insurance company limited annual report 2013-2014~National Insurance Company Limited~639
17246~National Insurance Company Limited:  Annual Report 2021-2022~NICL~1913
17247~National insurance company ltd annual report 2000-2001~National Insurance Company Limited~20208
17248~National insurance company ltd annual report 2001-2002~NIC~15146
17249~National insurance company ltd annual report 2010-2011~NICL~11082
17250~National insurance company ltd annual report 2011-2012~NICL~17739
17251~National insurance company ltd annual report 2014-2015~NICL~5287
17252~National insurance company ltd annual report 2015-2016~NICL~5692
17253~National insurance corporation of eritrea share co~Nice~15327
17254~National policy studies~Kashyap, Subhash C.~7287
17255~National security~~6065
17256~National seminar on investment management - march 25-27, 1996 ~NIA~1066
17257~National seminar on investment management (mar 25-27, 1996)~NIA~16855
17258~National seminar on investment management, march 25-27, 1996~NIA~16843
17259~National Sotck Exchange - NEAT CBT~~22455
17260~National statistics of India 1950-51 to 2000-01 (new linked series with 1993-94 as the base year)~Epw Research Foundation~13675
17261~National taxation for property management and valuation~Macleary, A.~19503
17262~National trainng policy~Training Division~17292
17263~National underwriter life/health      ~~33953
17264~National underwriter property/casualty      ~~33741
17265~Nationalised insurance~Daruwalla, R. K.~5556
17266~Nationalist~Merchant Minhaz~16316
17267~Natkanchya navalakatha नाटकांच या नवलकथा~Gdagil, Va.Ya.~21821
17268~Natrangi rangalo~Moghe, Srikant~13842
17269~Natural born killers~August, J. [Et.al]~12447
17270~Natural causes~Palmer, M.~2545
17271~Natural disaster~Sharma, R K~7617
17272~Natural disaster insurance~Gopalan, Swapna~103
17273~Natural disaster management~Malhotra, Sumit~555
17274~Natural disasters and development in a globalizing world~Pelling, Mark~2799
17275~Natural esp~Swann, Ingo~3573
17276~Natural hazard and event loss~Swiss Re~12348
17277~Natural hazards       ~~33754
17278~Natural hazards       ~~33755
17279~Natural hazards, unnatural disasters~World Bank~4829
17280~Natural resources trap~Hogan, William (Ed.)~12032
17281~Nature Alert~Pandey, Mahendra~25413
17282~Nature encyclopedia~Ress, Robin~6602
17283~Nature holidays in India~Outlook Traveller~6953
17284~Nature of insight~Sternberg, R.J. [Et.al]~17052
17285~Nature of managerial work~Mintzberg, Henry~7196
17286~Nature of mass poverty~Galbraith, John Kenneth.~6696
17287~Nature of poverty in greater bombay~Muttagi, P.K. [Et Al.~14515
17288~Nature scenics: CD24~~23330
17289~Nature watch~Singh, Khushwant~17073
17290~Naturopathy for the elderly~Bakhru, H.K.~21317
17291~Natwest markets' guide to power in asia~Macdougall, L. Ed.~12771
17292~Natyagan nipun नाट यगान निपुण~Joshi, Go. Ra.~19479
17293~Naughty Jyoti~Watts,Eleanor~23115
17294~Navalkatha नवलकथाएका पुरुषार थाची!~Mangalvedhekar, R.~19992
17295~Navara banvava tasa banato~Mahabal, B.L.~18180
17296~Naveteel teen pravasi नाव ंतील तीन प रवासी~Mirasdar, Da. Ma.~10749
17297~Navi gugli नवी गुगली~Prabhavalkar Dilip.~10931
17298~Navi zuluk नवी झुळ क~Godbole, Mangala~666
17299~Navlai australiachya pravasatil anubhav नवलाई आस ट र लियाच या प रवासातील अनुभव~Banhatti, Rajendra~14559
17300~Navneet School Atlas-Maharashtra Edition~Arya,R.P and Kanakia,Manubhai~22658
17301~Navya ugache sindabad नव या युगाच सिंदबाद~Mathure, Suresh.~5901
17302~NC: Noddy and Mr.Plod~Blyton,Enid~25028
17303~NC: Toyland Ahoy!~Blyton,Enid~24224
17304~Neatest little guide to making money online~Kelly, J.~15524
17305~Neclear energy and insurance~Dow, James C.~6203
17306~Need for roots~Weil, Simone~15006
17307~Need ka nirman phir~Bachchan, H.~17438
17308~Needs assessment instruments (astd trainer's toolkit)~Allen, E.L.~20492
17309~Neelchee shala 'sammmerhil', balsangopancha krantikari marg नीलची शाळा 'समरहिल' बालसंग पनाचा क रांतिकारी मार ग, आव त ती २~Neel, A. S.~7559
17310~Negal~Manohar, Vilas~21044
17311~Negal न गल~Manohar, Vilas~7532
17312~Negotiable instruments act (act of 26 of 1881, as modified up to date)~Parthasarathy, M.S.~16359
